"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"17/06/2025";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17/06/2025";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17/06/2025";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17/06/2025";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17/06/2025";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17/06/2025";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17/06/2025";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17/06/2025";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17/06/2025";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17/06/2025";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17/06/2025";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17/06/2025";"1100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17/06/2025";"1200";"17,4";"17,4";"15,4";"90,0";"95,0";"90,0";"15,7";"15,7";"14,7";"918,7";"918,7";"917,9";"0,8";"344,0";"3,7";"498,80";"0,0"
"17/06/2025";"1300";"19,2";"19,6";"17,4";"77,0";"90,0";"77,0";"15,1";"15,9";"15,0";"918,9";"919,0";"918,6";"1,7";"348,0";"4,2";"1124,50";"0,0"
"17/06/2025";"1400";"21,5";"21,5";"19,2";"69,0";"78,0";"68,0";"15,5";"15,9";"14,8";"918,5";"919,1";"918,5";"2,4";"338,0";"6,5";"1621,80";"0,0"
"17/06/2025";"1500";"22,4";"22,7";"21,5";"61,0";"69,0";"61,0";"14,4";"15,8";"14,4";"918,0";"918,6";"918,0";"3,9";"313,0";"8,8";"1977,60";"0,0"
"17/06/2025";"1600";"23,1";"23,5";"22,3";"57,0";"62,0";"56,0";"14,1";"14,7";"13,4";"917,3";"918,1";"917,3";"3,1";"340,0";"8,8";"2160,70";"0,0"
"17/06/2025";"1700";"23,4";"23,9";"22,8";"57,0";"59,0";"54,0";"14,4";"15,0";"13,5";"916,6";"917,3";"916,6";"4,2";"297,0";"8,9";"2003,00";"0,0"
"17/06/2025";"1800";"23,6";"24,0";"23,0";"57,0";"59,0";"56,0";"14,5";"15,1";"14,0";"916,3";"916,7";"916,2";"3,1";"315,0";"8,9";"1717,00";"0,0"
"17/06/2025";"1900";"23,6";"24,1";"23,1";"57,0";"59,0";"56,0";"14,6";"15,4";"14,1";"916,1";"916,4";"916,0";"2,8";"294,0";"8,8";"1271,90";"0,0"
"17/06/2025";"2000";"22,5";"23,8";"22,5";"60,0";"60,0";"57,0";"14,4";"15,1";"14,2";"916,1";"916,2";"915,9";"3,2";"286,0";"6,2";"702,90";"0,0"
"17/06/2025";"2100";"20,4";"22,5";"20,4";"69,0";"69,0";"60,0";"14,4";"14,4";"14,0";"916,3";"916,4";"916,1";"1,5";"310,0";"6,9";"141,60";"0,0"
"17/06/2025";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17/06/2025";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
