"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"16/06/2025";"0000";"14,9";"15,3";"14,7";"91,0";"92,0";"90,0";"13,4";"13,9";"13,2";"915,3";"915,3";"915,0";"1,5";"332,0";"3,6";"";"0,0"
"16/06/2025";"0100";"14,3";"14,9";"14,3";"92,0";"92,0";"90,0";"13,0";"13,4";"12,9";"916,0";"916,0";"915,3";"0,5";"344,0";"4,5";"";"0,0"
"16/06/2025";"0200";"13,2";"14,4";"13,2";"94,0";"94,0";"92,0";"12,3";"13,2";"12,3";"916,5";"916,5";"916,0";"0,2";"303,0";"2,5";"";"0,0"
"16/06/2025";"0300";"12,7";"13,3";"12,7";"96,0";"96,0";"94,0";"12,1";"12,6";"12,1";"916,7";"916,7";"916,5";"0,0";"307,0";"2,3";"";"0,0"
"16/06/2025";"0400";"12,6";"13,0";"12,3";"97,0";"97,0";"96,0";"12,1";"12,6";"11,7";"916,7";"916,9";"916,7";"0,0";"257,0";"1,5";"";"0,0"
"16/06/2025";"0500";"12,2";"12,6";"12,0";"98,0";"98,0";"97,0";"11,8";"12,2";"11,6";"916,8";"916,8";"916,7";"0,0";"316,0";"0,8";"";"0,0"
"16/06/2025";"0600";"11,4";"";"";"98,0";"";"";"11,2";"";"";"916,6";"";"";"";"";"";"";"0,0"
"16/06/2025";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/06/2025";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/06/2025";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/06/2025";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/06/2025";"1100";"11,8";"11,8";"11,2";"99,0";"99,0";"99,0";"11,7";"11,7";"11,1";"918,6";"918,6";"918,0";"0,1";"57,0";"";"58,20";"0,0"
"16/06/2025";"1200";"13,7";"13,7";"11,8";"99,0";"99,0";"99,0";"13,4";"13,4";"11,7";"919,1";"919,1";"918,5";"0,1";"42,0";"1,5";"300,60";"0,0"
"16/06/2025";"1300";"15,4";"15,4";"13,7";"90,0";"99,0";"90,0";"13,8";"14,2";"13,5";"919,7";"919,7";"919,1";"0,2";"31,0";"2,0";"432,10";"0,0"
"16/06/2025";"1400";"15,7";"15,8";"15,3";"89,0";"90,0";"89,0";"13,9";"14,2";"13,4";"919,9";"919,9";"919,7";"1,0";"42,0";"2,5";"442,20";"0,0"
"16/06/2025";"1500";"16,9";"16,9";"15,7";"87,0";"90,0";"86,0";"14,7";"14,7";"13,9";"919,4";"919,9";"919,4";"0,4";"7,0";"2,5";"699,70";"0,0"
"16/06/2025";"1600";"18,2";"18,2";"16,9";"82,0";"87,0";"82,0";"15,1";"15,1";"14,2";"918,7";"919,4";"918,7";"0,4";"55,0";"2,9";"897,90";"0,0"
"16/06/2025";"1700";"18,4";"18,7";"18,0";"82,0";"82,0";"80,0";"15,3";"15,3";"14,6";"918,1";"918,7";"918,1";"0,3";"37,0";"3,2";"812,80";"0,0"
"16/06/2025";"1800";"18,2";"18,6";"18,2";"81,0";"82,0";"80,0";"14,9";"15,4";"14,8";"918,1";"918,2";"918,0";"1,1";"307,0";"4,4";"483,40";"0,0"
"16/06/2025";"1900";"18,3";"18,3";"18,0";"82,0";"83,0";"81,0";"15,1";"15,3";"14,8";"917,8";"918,1";"917,7";"0,1";"11,0";"3,4";"365,90";"0,0"
"16/06/2025";"2000";"18,5";"18,5";"18,1";"83,0";"83,0";"81,0";"15,5";"15,5";"14,9";"917,6";"917,8";"917,6";"0,2";"43,0";"2,4";"247,70";"0,0"
"16/06/2025";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/06/2025";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/06/2025";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
